corrida,tiempo,algoritmo,densidad,resultado,p
4,0.0777,GS,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
5,0.1078,GS,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
6,0.1125,GS,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
7,0.1743,GS,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
8,0.2057,GS,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
9,0.1295,GS,28,"[0.5, 0.348837, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558, 0.0232558]",0.5
0,0.1639,GS,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
1,0.277,GS,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
2,0.1904,GS,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
3,0.3166,GS,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
